3.3074891e-01, 3.1762460e-01, 3.0507081e-01, 2.9305875e-01,
2.8156114e-01, 2.7055221e-01, 2.6000761e-01, 2.4990438e-01,
2.4022086e-01, 2.3093662e-01, 2.2203241e-01, 2.1377883e-01,
2.1377883e-01, 2.0671584e-01, 1.9986334e-01, 1.9321629e-01,
1.8676970e-01, 1.8051860e-01, 1.7445809e-01, 1.6858329e-01,
1.6288942e-01, 1.5737175e-01, 1.5202563e-01, 1.4684647e-01,
1.4182979e-01, 1.3697116e-01, 1.3226626e-01, 1.2771084e-01,
1.2330074e-01, 1.1903189e-01, 1.1490031e-01, 1.1090210e-01,
1.0703345e-01, 1.0329062e-01, 9.9669997e-02, 9.6168008e-02,
9.2781186e-02, 8.9506143e-02, 8.6339571e-02, 8.3278245e-02,
8.0319017e-02, 7.7458816e-02, 7.4694649e-02, 7.2023600e-02,
6.9442824e-02, 6.6949551e-02, 6.4541082e-02, 6.2214786e-02,
5.9968105e-02, 5.7798546e-02
